size,heat,eps,threads,iterations,duration
50000,100,0.05,1,484,0.027881
50000,100,0.05,1,484,0.030345
50000,100,0.05,1,484,0.029906
50000,100,0.05,1,484,0.031479
50000,100,0.05,1,484,0.029397
50000,100,0.05,1,484,0.030837
50000,100,0.05,1,484,0.028655
50000,100,0.05,1,484,0.030087
50000,100,0.05,1,484,0.027968
50000,100,0.05,1,484,0.029634
50000,100,0.05,2,485,0.041601
50000,100,0.05,2,485,0.015091
50000,100,0.05,2,485,0.01593
50000,100,0.05,2,485,0.012433
50000,100,0.05,2,485,0.01288
50000,100,0.05,2,485,0.014469
50000,100,0.05,2,485,0.015645
50000,100,0.05,2,485,0.01479
50000,100,0.05,2,485,0.013883
50000,100,0.05,2,485,0.014331
50000,100,0.05,3,486,0.013182
50000,100,0.05,3,486,0.008774
50000,100,0.05,3,486,0.008632
50000,100,0.05,3,486,0.009554
50000,100,0.05,3,486,0.00941
50000,100,0.05,3,486,0.008482
50000,100,0.05,3,486,0.008927
50000,100,0.05,3,486,0.008613
50000,100,0.05,3,486,0.009068
50000,100,0.05,3,486,0.008655
50000,100,0.05,4,487,0.010602
50000,100,0.05,4,487,0.007779
50000,100,0.05,4,487,0.006497
50000,100,0.05,4,487,0.006667
50000,100,0.05,4,487,0.006361
50000,100,0.05,4,487,0.007183
50000,100,0.05,4,487,0.00638
50000,100,0.05,4,487,0.006402
50000,100,0.05,4,487,0.00682
50000,100,0.05,4,487,0.006739
50000,100,0.05,5,488,0.010119
50000,100,0.05,5,488,0.010096
50000,100,0.05,5,488,0.010108
50000,100,0.05,5,488,0.009604
50000,100,0.05,5,488,0.010269
50000,100,0.05,5,488,0.010184
50000,100,0.05,5,488,0.009529
50000,100,0.05,5,488,0.009741
50000,100,0.05,5,488,0.009394
50000,100,0.05,5,488,0.009008
50000,100,0.05,6,489,0.005971
50000,100,0.05,6,489,0.004246
50000,100,0.05,6,489,0.005382
50000,100,0.05,6,489,0.005318
50000,100,0.05,6,489,0.004266
50000,100,0.05,6,489,0.004253
50000,100,0.05,6,489,0.004383
50000,100,0.05,6,489,0.004359
50000,100,0.05,6,489,0.004722
50000,100,0.05,6,489,0.005152
50000,100,0.05,7,490,0.007858
